index,fly_number,sample_name,reporter_name,ch1_name,aligned,output_name,stim_hz,image_hz
1,1,260416_fly1-z1,Gcamp,Gcamp,TRUE,Gcamp,20,10
2,1,260416_fly1-z2,Gcamp,Gcamp,TRUE,Gcamp,20,10
3,1,260416_fly1-z3,Gcamp,Gcamp,TRUE,Gcamp,20,10
4,1,260416_fly1-z4,Gcamp,Gcamp,TRUE,Gcamp,20,10
5,2,260416_fly2-z1,Gcamp,Gcamp,TRUE,Gcamp,20,10
6,2,260416_fly2-z2,Gcamp,Gcamp,TRUE,Gcamp,20,10
7,2,260416_fly2-z3,Gcamp,Gcamp,TRUE,Gcamp,20,10
8,2,260416_fly2-z4,Gcamp,Gcamp,TRUE,Gcamp,20,10
9,3,260416_fly3-z1,Gcamp,Gcamp,TRUE,Gcamp,20,10
10,3,260416_fly3-z2,Gcamp,Gcamp,TRUE,Gcamp,20,10
11,3,260416_fly3-z3,Gcamp,Gcamp,TRUE,Gcamp,20,10
12,3,260416_fly3-z4,Gcamp,Gcamp,TRUE,Gcamp,20,10
13,4,260416_fly4-z1,Gcamp,Gcamp,TRUE,Gcamp,20,10
14,4,260416_fly4-z2,Gcamp,Gcamp,TRUE,Gcamp,20,10
15,4,260416_fly4-z3,Gcamp,Gcamp,TRUE,Gcamp,20,10
16,5,260416_fly5-z1,Gcamp,Gcamp,TRUE,Gcamp,20,10
17,5,260416_fly5-z2,Gcamp,Gcamp,TRUE,Gcamp,20,10
18,5,260416_fly5-z3,Gcamp,Gcamp,TRUE,Gcamp,20,10
19,5,260416_fly5-z4,Gcamp,Gcamp,TRUE,Gcamp,20,10
20,5,260416_fly5-z5,Gcamp,Gcamp,TRUE,Gcamp,20,10
21,8,260423_fly8_kw_z1,Gcamp,Gcamp,TRUE,Gcamp,20,10
22,8,260423_fly8_kw_z2,Gcamp,Gcamp,TRUE,Gcamp,20,10
23,8,260423_fly8_kw_z3,Gcamp,Gcamp,TRUE,Gcamp,20,10
24,9,260423_fly9_kw_z1,Gcamp,Gcamp,TRUE,Gcamp,20,10
25,9,260423_fly9_kw_z2,Gcamp,Gcamp,TRUE,Gcamp,20,10
26,9,260423_fly9_kw_z3,Gcamp,Gcamp,TRUE,Gcamp,20,10
